cluster_kmeans,recence,frequence,montant_total,montant_moyen,montant_std,freq_hebdo_moyenne,cv_montant,pct_depot,pct_retrait,pct_transfert,pct_paiement_facture,pct_achat_credit
0,8.0,17.0,747500.0,43694.444444444445,25971.263657121355,0.6946564885496183,0.5921929113530088,0.25,0.2916666666666667,0.25,0.09090909090909091,0.08333333333333333
1,45.0,2.0,28500.0,9000.0,2286.737122335374,0.14285714285714285,0.2819617593716777,0.0,0.0,0.0,0.0,0.75
2,71.0,2.0,141500.0,97250.0,3966.001344763598,0.11475409836065574,0.12809905456278037,0.5,0.0,0.0,0.25,0.0
3,8.0,17.0,1840500.0,107812.5,42581.472710344555,0.7039106145251396,0.4019308155806915,0.08695652173913043,0.09090909090909091,0.08695652173913043,0.6521739130434783,0.05
4,54.0,2.0,49000.0,19500.0,5652.246937222428,0.12962962962962962,0.33274388790806725,0.0,0.5,0.0,0.0,0.0
5,8.0,18.0,13504500.0,751071.6911764706,525877.1873788575,0.7078651685393259,0.6993513997013755,0.5555555555555556,0.14285714285714285,0.14285714285714285,0.08695652173913043,0.05
6,54.0,2.0,49000.0,18937.5,3193.413961008707,0.1320754716981132,0.2189660286244205,0.0,0.0,1.0,0.0,0.0
