cluster_kmeans,recence,frequence,montant_total,montant_moyen,montant_std,freq_hebdo_moyenne,cv_montant,pct_depot,pct_retrait,pct_transfert,pct_paiement_facture,pct_achat_credit
0,10.987839101964452,16.920486435921422,770659.7219943665,47554.56056397266,33239.481474220505,0.6929317273449749,0.6576074475699661,0.25286488858954576,0.2968558826472252,0.25128601228699504,0.09987097333716125,0.09912224313907277
1,56.17733990147783,2.6995073891625614,64923.62892489265,35840.80336831666,9169.986124454792,0.20863626106795188,0.29194281539533384,0.03882242552193291,0.035514895613417787,0.12167292204238017,0.04243490499648135,0.7615548518257877
2,77.01488833746899,1.8337468982630274,235829.29368183226,130673.05440701646,38906.05214768333,0.17850224732945305,0.28151649626421427,0.46149710504549213,0.018486352357320098,0.12468982630272953,0.34598842018196857,0.04933829611248966
3,11.189821182943604,17.082530949105916,1894545.1232263318,115163.00028791388,58152.95542672837,0.7062708072717689,0.45845231026257005,0.09491689062907573,0.09640461413433735,0.09782812527926286,0.6549698304284279,0.05588053952889615
4,61.89078947368421,2.360526315789474,123569.86133056523,59160.54013532916,25383.85710861315,0.1579666615945253,0.3534822439374722,0.056685463659147874,0.6360150375939849,0.17511278195488722,0.04972744360902256,0.08245927318295738
5,10.871173469387756,17.714285714285715,13784010.302354122,778374.7191472094,644329.2838682507,0.7146462103971563,0.7898747616768123,0.5483164860675408,0.15106376225780632,0.14939358165162125,0.0988572751478845,0.05236889487514714
6,64.1496913580247,2.2037037037037037,84896.14064411781,50088.99366878229,9105.083587961653,0.2324688813351013,0.251498596092411,0.034387860082304524,0.049603174603174593,0.8547766019988243,0.03419679600235156,0.02703556731334509
